date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+rfh+num,#indicator+rfh_avg+num,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#indicator+rfq+pct,#indicator+r1q+pct,#indicator+r3q+pct,#status
2020-01-01,14508,CR406,1.0,30.0,34.6333,125.0,136.4,524.0,664.6,88.3095,92.2131,79.158,final
2020-01-11,14508,CR406,1.0,14.0,26.1,77.0,104.4667,452.0,568.5,61.0932,76.0047,79.8617,final
2020-01-21,14508,CR406,1.0,43.0,24.1667,87.0,84.9,395.0,490.1667,164.5714,102.2129,80.973,final
2020-02-01,14508,CR406,1.0,10.0,17.7,67.0,67.9667,316.0,408.6,66.0793,98.7602,77.8786,final
2020-02-11,14508,CR406,1.0,6.0,15.2,59.0,57.0667,283.0,357.7,54.4554,102.8827,79.6845,final
2020-02-21,14508,CR406,1.0,5.0,10.1667,21.0,43.0667,222.0,301.9333,65.9341,58.4171,74.3749,final
2020-03-01,14508,CR406,1.0,2.0,7.4667,13.0,32.8333,205.0,237.2,56.1497,53.6965,86.9741,final
2020-03-11,14508,CR406,1.0,2.0,6.8,9.0,24.4333,145.0,185.9667,59.322,55.1791,79.0951,final
2020-03-21,14508,CR406,1.0,4.0,10.2667,8.0,24.5333,116.0,152.5,58.952,52.1236,77.5385,final
2020-04-01,14508,CR406,1.0,10.0,13.4,16.0,30.4667,96.0,131.2667,81.5217,64.2504,75.0354,final
2020-04-11,14508,CR406,1.0,9.0,20.8333,23.0,44.5,91.0,126.0,54.1935,60.5505,74.2647,final
2020-04-21,14508,CR406,1.0,41.0,45.7333,60.0,79.9667,89.0,147.5667,90.6702,77.8066,62.8305,final
2020-05-01,14508,CR406,1.0,81.0,60.7333,131.0,127.3,160.0,190.6,130.8316,102.6948,84.7458,final
