Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código Meses,Meses,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1961","1961","°C","0.866","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1962","1962","°C","-0.322","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1963","1963","°C","-0.411","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1964","1964","°C","0.8","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1965","1965","°C","0.011","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1966","1966","°C","1.423","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1967","1967","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1968","1968","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1969","1969","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1970","1970","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1971","1971","°C","-0.308","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1972","1972","°C","-0.902","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1973","1973","°C","0.541","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1974","1974","°C","-0.445","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1975","1975","°C","-0.137","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1976","1976","°C","-0.504","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1977","1977","°C","0.036","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1978","1978","°C","-0.338","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1979","1979","°C","0.108","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1980","1980","°C","-0.147","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1981","1981","°C","-0.259","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1982","1982","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1983","1983","°C","1.043","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1984","1984","°C","-0.256","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1985","1985","°C","0.046","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1986","1986","°C","0.047","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7001","Enero","1987","1987","°C","0.048","E","Valor estimado"
