Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1961","1961","ha","500","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1961","1961","100 g/ha","10400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1961","1961","toneladas","520","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1962","1962","ha","700","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1962","1962","100 g/ha","10357","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1962","1962","toneladas","725","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1963","1963","ha","900","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1963","1963","100 g/ha","10444","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1963","1963","toneladas","940","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1964","1964","ha","1100","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1964","1964","100 g/ha","10182","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1964","1964","toneladas","1120","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1965","1965","ha","900","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1965","1965","100 g/ha","10089","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1965","1965","toneladas","908","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1966","1966","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1966","1966","100 g/ha","10158","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1966","1966","toneladas","965","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1967","1967","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1967","1967","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1967","1967","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1968","1968","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1968","1968","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1968","1968","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1969","1969","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1969","1969","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1969","1969","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1970","1970","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1970","1970","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1970","1970","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1971","1971","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1971","1971","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1971","1971","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1972","1972","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1972","1972","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1972","1972","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1973","1973","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1973","1973","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1973","1973","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1974","1974","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1974","1974","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1974","1974","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1975","1975","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1975","1975","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1975","1975","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1976","1976","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1976","1976","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1976","1976","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1977","1977","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1977","1977","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1977","1977","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1978","1978","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1978","1978","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1978","1978","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1979","1979","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1979","1979","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1979","1979","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1980","1980","ha","1000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1980","1980","100 g/ha","10000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1980","1980","toneladas","1000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1981","1981","ha","1000","A","Cifra oficial",""
