Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1961","1961","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1962","1962","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1963","1963","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1964","1964","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1965","1965","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1966","1966","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1967","1967","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1968","1968","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1969","1969","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1970","1970","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1971","1971","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1972","1972","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1973","1973","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1974","1974","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1975","1975","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1976","1976","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1977","1977","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1978","1978","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1979","1979","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1980","1980","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1981","1981","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1982","1982","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1983","1983","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1984","1984","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1985","1985","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1986","1986","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1987","1987","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1988","1988","1000 ha","5110","A","Cifra oficial",""
